trial_number,value,state,duration_seconds,param_n_estimators,param_learning_rate,param_max_depth,param_subsample,param_colsample_bytree,param_reg_alpha,param_reg_lambda,param_min_child_weight,param_gamma
45,0.9676650757143281,PRUNED,25.219707,1147,0.12220141871127627,3,0.9390342610153658,0.9580465960019058,0.025285214725065362,0.004454747062420984,6,0.2569846227012579
58,0.9676434195418246,PRUNED,18.952117,1102,0.24698366470979558,7,0.9833485797989452,0.6504967799425629,0.4115572827111318,0.003349713042690308,5,0.07400263493348572
13,0.9670741769611769,COMPLETE,52.460399,1196,0.03809879098399289,5,0.9996812193207756,0.760085171198858,0.06605890469240656,0.00011999453399104026,6,0.19596440388566222
37,0.9670160753909508,PRUNED,25.249235,1200,0.28882319758430225,3,0.941411479197218,0.9301292594163597,0.13051318708354287,0.022037923438148976,4,0.26047403991592055
35,0.9668670693614323,PRUNED,20.568373,833,0.20665682375883976,4,0.6810998227457783,0.8617430419144733,0.000613671109016627,0.11667672504349731,8,0.18558832820719853
53,0.9668198072327929,PRUNED,27.284195,978,0.22975621789239334,11,0.7828069251399474,0.9156116618502405,0.788239407209006,0.00923831276085745,10,0.02566823633872559
57,0.9661069651741293,PRUNED,15.96356,1005,0.0989889991016702,6,0.8751777282860345,0.9451408497541495,0.00011388592526884967,0.0008565263742664887,7,0.013691241700834696
6,0.965923965237461,COMPLETE,20.997935,758,0.19212959255386391,3,0.5979914312095727,0.522613644455269,0.0020013420622879987,0.0035868164986275516,3,0.41436875457596467
51,0.9659143968871595,PRUNED,17.116951,938,0.10409120295819663,10,0.8026424935873453,0.9680906819817444,0.5813361167119283,0.009156660208625348,10,0.036076786060502505
48,0.9659143968871595,PRUNED,16.626203,765,0.05546498750775908,9,0.885878465972177,0.8078187662948486,0.004214308668830836,0.01610430321773874,8,0.11774502951409198
50,0.9651307596513076,PRUNED,22.931404,1165,0.041906661297655676,6,0.811451179855817,0.940531363895981,0.2614775442571114,0.00019184003672783237,6,0.17857639238807393
32,0.9651090342679127,PRUNED,12.064371,874,0.21274218834412206,12,0.8945584416135205,0.8813453246928371,0.3078907369873635,0.018958297564336413,7,0.10418689907168714
54,0.9649368863955119,PRUNED,20.67463,1100,0.081765378597324,10,0.86062358237468,0.9980308257758854,0.20110863935962284,0.0019399904988023219,8,0.13886919803154696
30,0.9635854341736695,PRUNED,7.735133,707,0.1677487412069659,3,0.7707415757389182,0.9285592506265051,0.35975300552744616,0.04244776020208877,8,0.06304321016158801
46,0.9632856253889235,PRUNED,12.433369,983,0.23097034487843968,11,0.6841217782438633,0.8740887360840005,0.04839743308591902,0.06726898752044272,9,0.15881408205644937
19,0.962756052141527,PRUNED,14.672019,956,0.27089190019340975,7,0.7242307264041701,0.7051102112946549,0.16786695020188547,0.0011740532552973562,4,0.1619195409536507
38,0.960551033187226,PRUNED,15.245066,611,0.02888186298547274,7,0.7580707957958609,0.9147833918424177,0.22775454156357916,0.005266906358907586,7,0.08655046858033816
8,0.9595140584543201,COMPLETE,15.557191,106,0.10471209213501693,10,0.8645035840204937,0.8856351733429728,0.00019777828512462724,0.00271558195528294,2,0.43155171293779676
14,0.9588998618684039,COMPLETE,62.688209,1008,0.016993740784267394,6,0.9191118368277078,0.9972370298171715,0.33280919327443,0.0005829429729152292,6,0.34479356914274756
23,0.95260663507109,PRUNED,13.442723,1091,0.022579705137871216,4,0.5091560990452557,0.8141354626980392,0.006678675517742342,0.00031823757096332043,7,0.3532705233244292
36,0.938092940987297,PRUNED,3.537364,232,0.059012301936444744,5,0.8285617988257382,0.6230726289918582,0.06248532669383815,0.31424844562084564,10,0.14802106955167965
20,0.9331823329558324,PRUNED,12.672448,1079,0.016512472400347773,4,0.9257527691570244,0.8317653361412031,0.0018835206414421401,0.00035898785633183087,8,0.49692139252485434
3,0.9182299143143352,COMPLETE,16.666026,666,0.029341527565000736,3,0.8037724259507192,0.5852620618436457,0.00018205657658407274,0.6245139574743068,10,0.40419867405823057
5,0.9160763074971677,COMPLETE,55.524063,829,0.005917607170144194,8,0.7733551396716398,0.5924272277627636,0.755681014127442,0.12604664585649453,10,0.4474136752138244
2,0.9030105880887013,COMPLETE,44.762116,575,0.005265139631677754,9,0.569746930326021,0.6460723242676091,0.002920433847181412,0.006672367170464205,8,0.09983689107917987
1,0.8919632106416895,COMPLETE,115.330561,879,0.001124579825911934,12,0.9162213204002109,0.6061695553391381,0.000533703276260396,0.0005415244119402539,4,0.2623782158161189
7,0.8867730952783353,COMPLETE,37.576453,492,0.0049648810171066555,8,0.5704621124873813,0.9010984903770198,0.00019870215385428647,0.8862326508576243,8,0.0993578407670862
4,0.8766876174803623,COMPLETE,31.544544,435,0.0017456037635797405,9,0.7200762468698007,0.5610191174223894,0.009565499215943823,0.00013726318898045882,10,0.12938999080000846
47,0.8751062022090059,PRUNED,13.941771,387,0.00333629814278861,8,0.9691673101936178,0.9065579588955225,0.08525234647246253,0.0025778979793028563,7,0.0802084571501224
9,0.8731865864284581,COMPLETE,20.39158,786,0.006601984958164864,3,0.6554911608578311,0.6625916610133735,0.08287522363768157,0.035500125258511595,9,0.23610746258097465
44,0.8679698216735254,PRUNED,17.395856,868,0.0011133512795312832,6,0.8444653677571117,0.5370364214177105,0.11053426072574278,0.009599220727660349,7,0.2107244776577532
