trial_number,value,state,duration_seconds,param_n_estimators,param_learning_rate,param_num_leaves,param_max_depth,param_min_child_samples,param_subsample,param_colsample_bytree,param_reg_alpha,param_reg_lambda,param_min_split_gain
50,0.9684331313746805,COMPLETE,6.723281,709,0.16203270379407955,216,4,48,0.9197760442836853,0.567812070871558,0.007236054233055155,0.0004977262472559721,0.03015198962733536
54,0.9683638204295263,COMPLETE,15.650897,549,0.11645227632020522,243,6,54,0.9297913731134388,0.9339129819304428,0.014418124047050234,0.00010628671513521314,0.022168941020879396
42,0.9683489655392612,COMPLETE,5.489895,825,0.27967413845700345,209,3,49,0.9046450629617985,0.5341816998295972,0.013236729111199327,0.00042933208704880137,0.004102585981847647
33,0.9681561978158464,COMPLETE,5.522794,735,0.1729296980509347,187,5,111,0.5421681591313166,0.5850435072028337,0.022636878196069955,0.0011448230751144378,0.052368633897809234
45,0.9681280796572463,COMPLETE,8.823635,593,0.11839922435821887,198,5,55,0.9258600113604089,0.6592885962103906,0.007865837493647576,0.00011532568940527345,0.0008632484284705572
17,0.9680463143049854,COMPLETE,19.850859,958,0.04238457594096138,130,10,112,0.7911424993025512,0.6958985332561847,0.0024912417260024742,0.003556652901501171,0.06798413935665336
35,0.9677040779986683,COMPLETE,7.069219,596,0.2371037673900375,219,4,18,0.6018412218204509,0.5950252998593979,0.02147741191148226,0.0010979887133103225,0.05232224842505204
55,0.9676562547379226,COMPLETE,16.127073,792,0.0726797629052793,225,6,60,0.9979992767990631,0.8619299663020914,0.008949095151881957,0.0001934679449846503,0.01089906790550578
29,0.9675082317195542,COMPLETE,6.841982,683,0.17454549253569251,181,7,114,0.5620899051788878,0.5540641094751152,0.04454857743911763,0.003280286760554021,0.08017314890339255
16,0.9673497097756817,COMPLETE,15.155004,908,0.05646852893814474,164,10,77,0.7969800413348305,0.5738702227496203,0.002910840500301431,0.0020415609520101196,0.06458895205310725
31,0.9672446850490406,COMPLETE,8.012011,994,0.13964282228955402,179,9,112,0.5609170573246357,0.6341896129323696,0.09509804652076663,0.003807255778914552,0.07251511030676697
52,0.9671624160873254,COMPLETE,5.03508,629,0.22757433522306147,205,3,39,0.9672291543835808,0.6633172521411398,0.0038084736481429336,0.0002518711096750392,0.0009173840515828941
20,0.9670788303359134,COMPLETE,26.585608,1038,0.02509273391326845,66,10,110,0.6426263731718396,0.6905444078503703,0.00040972417395190007,0.007093244741501456,0.117324904354004
30,0.9670485572411242,COMPLETE,8.814926,651,0.2136311708439921,190,7,120,0.566390035642468,0.5516629044789404,0.040427593951787286,0.0022631505935844817,0.08240760994931162
32,0.9670322378294537,COMPLETE,5.964755,963,0.15228733099607214,177,8,102,0.5632845718367653,0.6298544246705541,0.11134288816343754,0.003992264157475577,0.07113707732206541
5,0.9667564775252687,COMPLETE,11.733415,1167,0.08319514671870787,241,11,76,0.9609371175115584,0.5442462510259598,0.0006080390190296605,0.00015167330688076205,0.06506606615265287
19,0.96645675323084,COMPLETE,19.62244,883,0.0438506635512806,117,6,106,0.7171457152142315,0.8008105436657098,0.002818224579336682,0.10021853529026221,0.07960596559780786
21,0.9664067030742899,COMPLETE,24.66506,859,0.025849219024900536,59,10,110,0.8178622236674576,0.6864379565124593,0.0003670045963291323,0.005681841395983457,0.1150534129698294
23,0.9658199111472016,COMPLETE,16.596967,1033,0.055212029461069456,131,11,112,0.5974027371364072,0.8150093758975967,0.0018014189675870259,0.012485556258037043,0.11775401577327901
25,0.9656501256744999,COMPLETE,22.430916,975,0.03330111787051208,101,12,60,0.6412864834690031,0.624125494693629,0.005806392021992745,0.0016955806060812233,0.07473550360438348
11,0.9656090035970153,COMPLETE,5.465012,494,0.2202345038276798,248,8,77,0.5271452021146763,0.5034392951693698,0.9517886179447586,0.0008417003674670506,0.14941884328293906
13,0.9653227363982473,COMPLETE,7.798522,776,0.11119641747119677,244,12,79,0.9974894248552965,0.5787600873010279,0.0009971408414078337,0.0006663399222426237,0.14130054525618316
15,0.965119188580195,COMPLETE,5.295544,393,0.13726999259085548,235,9,59,0.510456783241702,0.5002167816074369,0.0009452657853428498,0.00025428527571253704,0.16529723856742792
12,0.9647736847663116,COMPLETE,8.26212,526,0.09099052372690618,255,9,69,0.5167929424672361,0.5015645979849143,0.96397579031595,0.0007183005201808482,0.14467291108826555
0,0.9640016278024989,COMPLETE,4.728591,512,0.22648248189516848,191,7,27,0.5779972601681014,0.5290418060840998,0.29154431891537513,0.02537815508265665,0.1416145155592091
14,0.9639992806814724,COMPLETE,25.161714,1198,0.02068514761435551,163,6,101,0.6924745509172271,0.7297841834842826,0.054255116339828005,0.00070322286134024,0.1049774683710124
58,0.9636932707355242,PRUNED,4.13606,881,0.10036185662426891,195,4,56,0.9706876391597669,0.9532761820499175,0.005499892306549042,0.00010181184073805306,0.01570348727245372
47,0.963044159098027,PRUNED,2.192682,475,0.11100888084951883,198,5,43,0.9454937457889807,0.5205706442623145,0.07570464299501493,0.00017023704454694882,0.025350167006213415
8,0.9630369783704444,COMPLETE,30.322706,1050,0.03499331111708852,94,-1,44,0.6625916610133735,0.864803089169032,0.035500125258511595,0.35387588647792356,0.09444298503238986
